sample,source,guuid
P228,culture,56138f24-84df-4a4c-9e89-7e43beb59eba
P221,sputum,97c4bf15-66ce-4f79-ae60-be9286fe5984
P215,culture,210ae29b-ea3e-459f-9b4b-785872f4f5df
Test_42,culture,
Test_60,sputum,
P208,sputum,b95b992d-2a03-481a-99ab-0b5a20085998
P226,culture,bd8276bd-160a-4044-a8e1-071c1822219e
Test_34,sputum,
Test_15,culture,
P228_rep2,sputum,0c62a97f-591f-4f6a-9730-e02a5a7fb03a
Test_32,sputum,
P216,culture,d8cc23af-1421-43f4-8923-c42218afe94b
P223,sputum,1f40a265-b281-47de-8f7a-4eef5a8eec69
Test_NC1,sputum,
Test_46,culture,
Test_28,sputum,
Test_36,culture,
PCtrl-5,sputum,4f3bf00b-679a-4510-92e2-3e52ad0603ee
P222_rep2,sputum,373ea8d0-8560-4ef6-aec0-0c2bcd619636
Test_45,culture,
P215,sputum,78402937-52b9-4ef8-be20-2471062dbf12
Test_22,culture,
Test_51,sputum,
Test_37,culture,
P214,sputum,e534f2d3-4407-4bb1-93c4-2d70ece9b5ef
P228_rep1,sputum,a5ca247b-ad23-4da1-bda1-f9923cdccb97
P212,culture,1665e672-20e6-4f30-9498-10c57eec84fc
Test_50,culture,
P229_rep1,culture,92b7abde-6c54-4a84-baee-9ed527944c9b
PCtrl-2,sputum,3e8b84d5-c77d-4ca0-8321-1392e4c1c59e
Test_43,sputum,
P210,sputum,e048ad06-6cfe-487f-ace0-bea14de9612d
Test_38,sputum,
Test_41,culture,
Test_16,culture,
P202,sputum,c8903173-fa62-40ef-938d-b2f3bc2ded7a
Test_54,culture,
P207,sputum,22d5ab1d-7f48-447c-9302-c84f76917d1f
P206_rep2,sputum,af661c80-aa1e-4f83-8759-ac87e8e94ccc
P222,sputum,6772934b-ac38-4957-908f-1cdd8835be6c
P206_rep1,sputum,abdc9390-7630-446c-ad30-ef11d0a28614
Test_NC5,sputum,
P204,culture,040733a8-87ea-4908-981a-0d69e19bbe57
P227,sputum,8dae51a4-9bae-4569-9642-ce05c20fcd6e
P212,sputum,78ecc2e4-dfa9-4660-8c0e-35644a0222f7
P219,sputum,0728db90-0c74-4a56-83bd-f9700d06366e
P205,culture,09393e96-60a6-4d18-8684-50186843d10f
Test_53,sputum,
P220,sputum,3cccac23-6550-4955-a367-9bf6067a6191
P230,culture,54b106b2-8e2f-4f36-b806-024c64925f1d
Test_55,sputum,
PCtrl-4,sputum,0a390791-7fe6-4c8b-82c6-c8dcf989f36b
P218,culture,1b4ac33d-ae48-4138-b3e4-ff99c7919d98
Test_32,culture,
P201_rep1,sputum,71f4d2e6-1f73-4ada-9735-0f8768a865c3
Test_19,sputum,
P225,sputum,9ff4a037-3cda-4a65-8f00-6edca8075ff2
P218,sputum,7a25e1be-0582-44a2-bd10-c0af1e646094
Test_28,culture,
Test_18,sputum,
P229_rep1,sputum,a1642208-1324-4123-ad03-a4b326644861
P228_rep1,culture,42d3adcd-dd95-46ba-a03e-864770feffce
P230_rep1,culture,5ea62c13-8706-4a40-ac37-17605975f43e
P211_rep1,sputum,36c44aec-9e7b-4b35-8949-c4d0ee73d444
Test_51,culture,
P229,sputum,70c860b6-efb4-4f4f-8c7c-6caf84c6eed6
P227,culture,6e4444e5-c0ab-4e76-80b1-77e1a314246f
Test_40,sputum,
P203,culture,a6a7e288-a0ca-4e45-9c9f-a2e5351da00e
PCtrl-3,sputum,3dc6afc8-ff3a-46fa-8f4f-ad3523a082ab
P217,culture,9c0391fe-3a82-463e-83ff-dca09dc8de01
Test_20,sputum,
Test_43,culture,
P209,sputum,ad47a013-0586-445a-b911-8213e1713f83
Test_38,culture,
Test_42,sputum,
Test_23,sputum,
P203_rep1,sputum,03922e41-3d71-4c98-8911-3125cecdbb14
P230,sputum,5b813967-7935-4a8f-a35a-eb2204f91822
P211,culture,f8c48e2f-3cff-4783-a20c-378ae5d190fd
P210,culture,62c04ee5-626a-40e9-86c4-93bb3e305554
Test_47,sputum,
P229,culture,a381ad1a-2036-4173-8da4-9d32ee3629a7
Test_NC3,sputum,
Test_65,sputum,
PCtrl-6,sputum,52eb387f-8e0d-46a7-a949-c9e78491e373
Test_NC6,sputum,
Test_60,culture,
Test_53,culture,
Test_37,sputum,
Test_52,sputum,
Test_34,culture,
Test_56,sputum,
P203,sputum,6b45dd89-fd62-4c7c-8a11-3ba342f49484
Test_41,sputum,
P214,culture,5d7b617c-c72a-49f9-9025-30a877362d21
Test_48,sputum,
Test_16,sputum,
Test_50,sputum,
Test_NC2,sputum,
Test_19,culture,
P219_rep1,sputum,5e12626f-0186-41c3-9d80-2fd2a732f3ff
P204,sputum,58c59cd2-6749-4508-8d10-b8d9117f1c0c
P225,culture,7feb53d1-00e9-49e0-8d49-743b2072d04c
Test_NC4,sputum,
P223,culture,52ad31ff-ab11-4041-a8a3-5e3725550205
P206,sputum,8a92f06b-cf43-4077-b100-f89090f64d27
Test_54,sputum,
P202_rep1,sputum,da795113-966f-41a7-82f1-359b1159833a
Test_15,sputum,
P227_rep1,sputum,0aa1a69c-d632-4fe1-b0f6-8851c02f2623
PCtrl-1,sputum,3b95e741-1bca-4016-a269-53fedec90a51
Test_40,culture,
P202,culture,f4c4a9b5-28b4-41b0-ab90-e587bd165918
P224,sputum,8c4438ac-b6ce-420a-b838-c200db2d843b
P222_rep1,sputum,08cd1f41-9fda-432c-a6db-8d587783ceb8
P211,sputum,2141ed0b-722b-4b82-bb4a-7ba8f1f155fc
P205,sputum,1533e371-e622-41fe-a253-d90ef46c15cd
Test_20,culture,
Test_46,sputum,
P222,culture,8a26b491-ada2-4150-aebf-39548bac2f4f
P221,culture,baa53d87-c794-43c7-b1f8-6843579aa2b6
Test_36,sputum,
P229_rep2,sputum,cae8c334-44a0-45e6-8ed8-fd41b3d8662a
P220_rep1,sputum,e5d1a82c-fbd4-4915-8a02-9d67c57247a6
Test_23,culture,
Test_47,culture,
P209,culture,33d21b1b-d5fd-4515-98b0-278e29ee9344
Test_45,sputum,
P210_rep1,sputum,a2c35052-8a3a-4cf4-aafe-34eeace7c944
Test_22,sputum,
P201,sputum,a7563adf-562d-458e-959a-1d7de9cb16d1
Test_65,culture,
P213,sputum,88fe6985-ba34-4ea5-9efe-fc78d87fd3e4
Test_55,culture,
Test_52,culture,
P216,sputum,199985b5-5f37-43b2-8c63-8a12e8398968
P227_rep2,sputum,9798bdc3-b73b-4f68-87c5-efb2d346a733
Test_56,culture,
P225_rep1,sputum,d9851e6a-3967-422b-bd62-6bf58d3a7f6a
P224,culture,64d68f96-7d17-4e84-a05d-d569e8122fa9
Test_48,culture,
P217,sputum,00c8374d-1711-4b14-8a8d-2ab121d29175
P228,sputum,d486523d-6470-419c-bd28-8a82b96de868
P204_rep1,sputum,72fddccf-cf45-4b5c-a971-f938ac27e97a
