Id Sample,Source,Date extraction,guid,Reference Genome,Plate name,Row ID,Column ID,,,
Mada-P201S,Sputum,26/11/19,a7563adf-562d-458e-959a-1d7de9cb16d1,R00000039,PR2832_CRyPTIC_Peru,G,2,,,
Mada-P202S ,Sputum,26/11/19,c8903173-fa62-40ef-938d-b2f3bc2ded7a,R00000039,PR2832_CRyPTIC_Peru,H,2,,,
Mada-P203S ,Sputum,7/10/19,6b45dd89-fd62-4c7c-8a11-3ba342f49484,R00000039,PR2832_CRyPTIC_Peru,A,3,,,
Mada-P204S,Sputum,26/11/19,58c59cd2-6749-4508-8d10-b8d9117f1c0c,R00000039,PR2832_CRyPTIC_Peru,B,3,,,
Mada-P205S ,Sputum,26/11/19,1533e371-e622-41fe-a253-d90ef46c15cd,R00000039,PR2832_CRyPTIC_Peru,C,3,,,
Mada-Pctrl1S,Sputum,6/11/19,3b95e741-1bca-4016-a269-53fedec90a51,R00000039,PR2832_CRyPTIC_Peru,D,3,,,
Mada-P206S ,Sputum,17/10/19,8a92f06b-cf43-4077-b100-f89090f64d27,R00000039,PR2832_CRyPTIC_Peru,E,3,,,
Mada-P207S ,Sputum,31/10/19,22d5ab1d-7f48-447c-9302-c84f76917d1f,R00000039,PR2832_CRyPTIC_Peru,F,3,,,
Mada-P208S ,Sputum,6/10/19,b95b992d-2a03-481a-99ab-0b5a20085998,R00000039,PR2832_CRyPTIC_Peru,G,3,,,
Mada-P209S ,Sputum,31/10/19,ad47a013-0586-445a-b911-8213e1713f83,R00000039,PR2832_CRyPTIC_Peru,H,3,,,
Mada-P210S ,Sputum,4/2/20,e048ad06-6cfe-487f-ace0-bea14de9612d,R00000039,PR2832_CRyPTIC_Peru,A,4,,,
Mada-Pctrl2S ,Sputum,25/2/20,3e8b84d5-c77d-4ca0-8321-1392e4c1c59e,R00000039,PR2832_CRyPTIC_Peru,B,4,,,
Mada-P211S ,Sputum,5/10/19,2141ed0b-722b-4b82-bb4a-7ba8f1f155fc,R00000039,PR2832_CRyPTIC_Peru,C,4,,,
Mada-P212S ,Sputum,13/11/19,78ecc2e4-dfa9-4660-8c0e-35644a0222f7,R00000039,PR2832_CRyPTIC_Peru,D,4,,,
Mada-P213S ,Sputum,19/11/19,88fe6985-ba34-4ea5-9efe-fc78d87fd3e4,R00000039,PR2832_CRyPTIC_Peru,E,4,,,
Mada-P214S ,Sputum,28/11/19,e534f2d3-4407-4bb1-93c4-2d70ece9b5ef,R00000039,PR2832_CRyPTIC_Peru,F,4,,,
Mada-P215S ,Sputum,28/11/19,78402937-52b9-4ef8-be20-2471062dbf12,R00000039,PR2832_CRyPTIC_Peru,G,4,,,
Mada-Pctrl3S ,Sputum,4/2/20,3dc6afc8-ff3a-46fa-8f4f-ad3523a082ab,R00000039,PR2832_CRyPTIC_Peru,H,4,,,
Mada-P216S ,Sputum,24/10/19,199985b5-5f37-43b2-8c63-8a12e8398968,R00000039,PR2832_CRyPTIC_Peru,A,5,,,
Mada-P217S ,Sputum,24/10/19,00c8374d-1711-4b14-8a8d-2ab121d29175,R00000039,PR2832_CRyPTIC_Peru,B,5,,,
Mada-P218S ,Sputum,7/11/19,7a25e1be-0582-44a2-bd10-c0af1e646094,R00000039,PR2832_CRyPTIC_Peru,C,5,,,
Mada-P219S ,Sputum,5/11/19,0728db90-0c74-4a56-83bd-f9700d06366e,R00000039,PR2832_CRyPTIC_Peru,D,5,,,
Mada-P220S ,Sputum,19/11/19,3cccac23-6550-4955-a367-9bf6067a6191,R00000039,PR2832_CRyPTIC_Peru,E,5,,,
Mada-Pctrl4S ,Sputum,4/2/20,0a390791-7fe6-4c8b-82c6-c8dcf989f36b,R00000039,PR2832_CRyPTIC_Peru,F,5,,,
